"Site Id","Site Code","Campaign Code","PLM Discount id","PLM Start Date","PLM End Date","ICOMS Start Date","ICOMS End Date","Offer series","Comments"
"239","ROA","PERIGRN5","10054","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Perigrn","End date mismatch","false"
"239","ROA","PERIGRN750","10059","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Perigrn","End date mismatch","false"
"239","ROA","PERIGRNBX","41765","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Start Date by Market","End date mismatch","false"
"239","ROA","PERIGRNIN","42018","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Start Date by Market","End date mismatch","false"
"342","SAB","PERIGRN10","10055","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","Perigrn","End date mismatch","false"
"342","SAB","PERIGRN125","10058","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","Perigrn","End date mismatch","false"
"342","SAB","PERIGRN15","10056","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","Perigrn","End date mismatch","false"
"342","SAB","PERIGRN20","10057","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","Perigrn","End date mismatch","false"
"342","SAB","PERIGRN25","40342","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","October 22, 2018 - Perigrine Offers","End date mismatch","false"
"342","SAB","PERIGRN32","40343","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","October 22, 2018 - Perigrine Offers","End date mismatch","false"
"342","SAB","PERIGRN5","10054","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","Perigrn","End date mismatch","false"
"342","SAB","PERIGRN750","10059","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","Perigrn","End date mismatch","false"
"342","SAB","PERIGRNBX","42029","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","Peregrine","End date mismatch","false"
