"DISCOUNT_ID","DISCOUNT_CODE","DESCRIPTION","TAG","DISCOUNT_START_DATE","DISCOUNT_END_DATE","needsOffers?","CNT"
"9013","CHL171HIBF","Fix for Free CHL Install with 3P/4P bundles","","10-May-17","29-Jun-20","NO","0","false"
"42306","ELYS171HI","Elysian MDU Trial Discounts - Base","","10-May-17","29-Jun-20","NO","0","false"
"42373","ELYS171HIQ","Elysian MDU Trial Discounts - Base Plus","","10-May-17","29-Jun-20","NO","0","false"
"42374","ICON171HIQ","Icon at Broken Arrow MDU Trial Discounts","","10-May-17","30-Mar-20","NO","0","false"
"42378","MERC171HIQ","Mercury Builders Agreement OTCs","","10-May-17","31-Dec-20","NO","0","false"
"42379","MERC171MRC","Mercury Builders Agreement MRC","","10-May-17","31-Dec-20","NO","0","false"
"42375","SHR172HM","Smart Home Ready Multi-Product Discount for Bulked Accounts","","10-May-17","31-Dec-25","NO","0","false"
"9015","RXFVX0001","Free Self-Installation for Contour 2 swap","","26-May-17","30-Jun-20","NO","0","false"
"9185","SANDESTIN","Sandestin - 20% off","","01-Jul-17","31-Mar-25","NO","0","false"
"9198","RPRDQ0012","Free Existing Modem Rental for 12 Mths","","01-Aug-17","13-May-20","NO","0","false"
"9255","SANDESTIND","Sandestin - 20% Off Data","","17-Aug-17","31-Mar-25","NO","0","false"
"9254","SANDESTINV","Sandestin - 20% Off Video","","17-Aug-17","31-Mar-25","NO","0","false"
"9297","RPCDPANOI","Free Self or Pro-Install for Pano WiFi","","01-Sep-17","31-Dec-20","NO","0","false"
"9442","RXCDQ0012","Free Pano Wi-Fi Modem Rental for 12 months","","09-Oct-17","13-May-20","NO","0","false"
"9658","CHL174SARN","Homelife Customer Service Agreement Renewal Campaign","","18-Dec-17","29-Jun-20","NO","0","false"
"10055","PERIGRN10","Perigrn - $10 Discount for 12 mo.","","09-Jan-18","14-Sep-20","NO","0","false"
"9614","RCECS2012","$20 Off Video for 12 mos - Executive Escalation ONLY","","15-Jan-18","31-Dec-20","NO","0","false"
"9615","RCECS3012","$30 Off Video for 12 mos - Executive Escalation ONLY","","15-Jan-18","31-Dec-20","NO","0","false"
"9616","RCECS5012","$50 Off Video for 12 mos - Executive Escalation ONLY","","15-Jan-18","31-Dec-20","NO","0","false"
"9619","RCEDS2012","$20 Off Data for 12 mos - Executive Escalation ONLY","","15-Jan-18","31-Dec-20","NO","0","false"
"9618","RCEDS3012","$30 Off Data for 12 mos - Executive Escalation ONLY","","15-Jan-18","31-Dec-20","NO","0","false"
"9617","RCEDS5012","$50 Off Data for 12 mos - Executive Escalation ONLY","","15-Jan-18","31-Dec-20","NO","0","false"
"9690","ROTXX00IN","Free Professional Install for Video, Data, or Phone","","01-Feb-18","30-Jun-20","NO","0","false"
"9896","WE181CHC12","Add Cox Complete Care for $5 for 12 months","","30-Mar-18","29-Jun-20","NO","0","false"
"9893","WE181CK12U","Add any Video Pak for $5/mo for 12mo.","","30-Mar-18","29-Jun-20","NO","0","false"
"9912","AV181CR24","Accessible Video - Discounted C2 HD receiver","","01-Apr-18","31-Mar-20","NO","0","false"
"9978","RPRCA0001","Free Pro or Self-Install for Contour 2 Upgrade","","07-May-18","30-Jun-20","NO","0","false"
"10001","EMP181BX12","$99.99 CONTV, STB, CHSIPRF100 + CDTPMR for 12 mo.","","21-May-18","29-Jun-20","NO","0","false"
"9998","EMP181DP12","$59.99 Preferred 100 Data for 12 mo.","","21-May-18","29-Jun-20","NO","0","false"
"9999","EMP181LX12","$89.99 Contour TV and Preferred 100 data for 12 mo.","","21-May-18","29-Jun-20","NO","0","false"
